epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1408.81,1.23571,2.9069,1.61109,0.02407,0.91089,0.3614,0.18829,1.09742,3.0862,1.57843,0.00165558,0.000551861,0.00165558,0.000551861,0.00165558,0.000551861,0.00165558,0.000551861
2,2347.19,1.07365,2.40017,1.49,0.65519,0.56439,0.62454,0.35179,1.26808,2.34183,1.62403,0.00328147,0.00109382,0.00328147,0.00109382,0.00328147,0.00109382,0.00328147,0.00109382
3,3500.51,1.07794,1.8037,1.47479,0.78295,0.67327,0.73649,0.47396,1.13547,1.90547,1.50923,0.00486609,0.00162203,0.00486609,0.00162203,0.00486609,0.00162203,0.00486609,0.00162203
4,6856.48,1.00856,1.59727,1.40676,0.76732,0.70297,0.77929,0.48975,1.15341,1.79575,1.50154,0.00481534,0.00160511,0.00481534,0.00160511,0.00481534,0.00160511,0.00481534,0.00160511
5,7604.72,0.97657,1.4468,1.37298,0.75607,0.67516,0.74924,0.46912,1.18181,1.8638,1.52995,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
6,8430.28,0.92852,1.34077,1.33199,0.78564,0.77228,0.76099,0.47335,1.21058,1.74667,1.53299,0.00469156,0.00156385,0.00469156,0.00156385,0.00469156,0.00156385,0.00469156,0.00156385
7,9170.55,0.92835,1.26724,1.32349,0.81709,0.77228,0.79159,0.49485,1.12527,1.56023,1.43647,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
8,9865.27,0.91084,1.20308,1.30875,0.825,0.75248,0.79442,0.51281,1.127,1.59751,1.46447,0.00456779,0.0015226,0.00456779,0.0015226,0.00456779,0.0015226,0.00456779,0.0015226
9,10598.6,0.88536,1.15815,1.28623,0.81507,0.74188,0.78921,0.51724,1.12664,1.62325,1.46839,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
10,11294.6,0.87035,1.12718,1.28177,0.82821,0.71604,0.80192,0.54111,1.16683,1.48641,1.47989,0.00444401,0.00148134,0.00444401,0.00148134,0.00444401,0.00148134,0.00444401,0.00148134
11,959.752,0.85911,1.09824,1.27247,0.80701,0.70385,0.74933,0.48637,1.2395,1.56769,1.52103,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071
12,1857.42,0.84124,1.0572,1.25202,0.81012,0.71816,0.75809,0.47454,1.25198,1.64203,1.58751,0.00432024,0.00144008,0.00432024,0.00144008,0.00432024,0.00144008,0.00432024,0.00144008
13,2554.45,0.82098,0.97705,1.24202,0.87831,0.70297,0.8248,0.52061,1.21745,1.42229,1.53194,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
14,3221.68,0.79611,0.95121,1.2206,0.8723,0.67638,0.7613,0.4843,1.20988,1.47128,1.55025,0.00419646,0.00139882,0.00419646,0.00139882,0.00419646,0.00139882,0.00419646,0.00139882
15,3878.06,0.78661,0.91867,1.21389,0.81893,0.73267,0.75154,0.4748,1.25434,1.57535,1.60216,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
16,4635.52,0.74076,0.89296,1.18818,0.85426,0.68317,0.74021,0.44733,1.25436,1.54379,1.62009,0.00407269,0.00135756,0.00407269,0.00135756,0.00407269,0.00135756,0.00407269,0.00135756
17,5433.27,0.74589,0.8734,1.18533,0.78143,0.75248,0.78824,0.50733,1.19417,1.40493,1.50152,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
18,771.453,0.71706,0.85218,1.16905,0.83747,0.73267,0.77391,0.51203,1.13442,1.4351,1.44835,0.00394891,0.0013163,0.00394891,0.0013163,0.00394891,0.0013163,0.00394891,0.0013163
19,1437.81,0.7009,0.81853,1.15695,0.73766,0.72277,0.7222,0.45698,1.20753,1.56128,1.58163,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568
20,2255.82,0.68006,0.76564,1.14466,0.85541,0.74257,0.78568,0.49666,1.22063,1.32137,1.5439,0.00382514,0.00127505,0.00382514,0.00127505,0.00382514,0.00127505,0.00382514,0.00127505
21,3159.05,0.65845,0.75889,1.12952,0.87987,0.67327,0.76979,0.49412,1.22894,1.35996,1.62042,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
22,4088.3,0.66182,0.74841,1.12801,0.82674,0.73267,0.78205,0.50065,1.26365,1.37545,1.57988,0.00370137,0.00123379,0.00370137,0.00123379,0.00370137,0.00123379,0.00370137,0.00123379
23,4936.02,0.62923,0.71979,1.11214,0.83681,0.66337,0.76449,0.46332,1.36408,1.44264,1.6898,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
24,5912.27,0.64022,0.71157,1.1142,0.68806,0.76238,0.7521,0.45097,1.28936,1.36937,1.62885,0.00357759,0.00119253,0.00357759,0.00119253,0.00357759,0.00119253,0.00357759,0.00119253
25,645.638,0.61984,0.70125,1.10557,0.85452,0.71287,0.74701,0.45671,1.29482,1.35489,1.63876,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
26,2038.3,0.60497,0.67644,1.09593,0.79782,0.67327,0.7077,0.4327,1.24822,1.48428,1.63672,0.00345382,0.00115127,0.00345382,0.00115127,0.00345382,0.00115127,0.00345382,0.00115127
